"Address","¤u¼t¦WºÙ","¤u¼tµn°O½s¸¹","¤u¼t³]¥ß³\¥i®×¸¹","¤u¼t¦a§}","¤u¼t¥«Âí¶m§ø¨½","¤u¼t­t³d¤H©m¦W","¤½¥q.Àç§Q¨Æ·~.²Î¤@½s¸¹","¤u¼t²ÕÂ´«¬ºA","¤u¼t³]¥ß®Ö­ã¤é´Á","¤u¼tµn°O®Ö­ã¤é´Á","¤u¼tµn°Oª¬ºA","²£·~Ãþ§O","¥D­n²£«~","Response_Address","Response_X","Response_Y"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¤GÛÁ¤T¸¹","Âïº_¹ê·~¦³­­¤½¥q","99628425",8510003138372,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¤GÛÁ¤T¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","ªôÅã¯q¡@¡@¡@",96994414,"¦³­­¤½¥q",850628,850708,"¥Í²£¤¤","11¯¼Â´·~","122°wÂ´¦¨¦ç","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ22§Ë3¸¹","121.322229","24.970023"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¤TÛÁ¤G¸¹¤@¼Ó","ªF¶i¾÷±ñ¦³­­¤½¥q","99687796",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¤TÛÁ¤G¸¹¤@¼Ó","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","ÁÂ¨ÎÁH",27306237,"¦³­­¤½¥q",NA,930713,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~,30¨T¨®¤Î¨ä¹s¥ó»s³y·~","293³q¥Î¾÷±ñ³]³Æ,303¨T¨®¹s¥ó","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ22§Ë2¸¹","121.322089","24.969885"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¤TÛÁ¤»¸¹","¹dµÏ¥ø·~¦³­­¤½¥q","99628632",8410003224375,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¤TÛÁ¤»¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","ÃQ¹d¬x¡@¡@¡@",86115038,"¦³­­¤½¥q",841030,841103,"¥Í²£¤¤","12¦¨¦ç¤ÎªA¹¢«~»s³y·~","122°wÂ´¦¨¦ç","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ22§Ë6¸¹","121.321973","24.969808"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¤TÛÁ¥|¸¹","´Ñ³Ç¥ø·~¦³­­¤½¥q","99624946",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¤TÛÁ¥|¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","³¯ÄR¬Ã",86529213,"¦³­­¤½¥q",NA,910712,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ22§Ë4¸¹","121.322032","24.969845"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¥|ÛÁ¤K¸¹¤@¼Ó","®ç¼ü¥ø·~¦³­­¤½¥q","99623065",8910003324056,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¥|ÛÁ¤K¸¹¤@¼Ó","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","Ä¬²Q´f",70504089,"¦³­­¤½¥q",890522,890531,"¥Í²£¤¤","11¯¼Â´·~,22¶ì½¦»s«~»s³y·~,25ª÷ÄÝ»s«~»s³y·~","115¯¼Â´«~,220¶ì½¦»s«~,259¨ä¥Lª÷ÄÝ»s«~","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ22§Ë8¸¹","121.322434","24.969998"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤Q¤»¸¹","¥ß³Ó¾÷±ñ¦³­­¤½¥q","99623079",8210003001232,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤Q¤»¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","¶À¤å²»¡@¡@¡@",22970487,"¦³­­¤½¥q",820311,841130,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ16¸¹","121.322722","24.969542"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¥|¥|¡B¥|¤»¡B¥|¤K¸¹","ÁpªÛ¥ø·~ªÑ¥÷¦³­­¤½¥q","99627429",8310003065592,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¥|¥|¡B¥|¤»¡B¥|¤K¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","´å¥ô«i¡@¡@",22666556,"ªÑ¥÷¦³­­¤½¥q",830620,830629,"¥Í²£¤¤","26¹q¤l¹s²Õ¥ó»s³y·~,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,33¨ä¥L»s³y·~","264¥ú¹q§÷®Æ¤Î¤¸¥ó,269¨ä¥L¹q¤l¹s²Õ¥ó,272³q°T¶Ç¼½³]³Æ,331¨|¼Ö¥Î«~,339¨ä¥L»s«~","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ14¸¹","121.322786","24.969579"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½®çÅa¸ô«n¹´«Ñ41¸¹1¼Ó","´IÄË°ê»Ú¶}µoªÑ¥÷¦³­­¤½¥q","03000053",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½®çÅa¸ô«n¹´«Ñ41¸¹1¼Ó","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","³¯¬î¶Q",80593080,"ªÑ¥÷¦³­­¤½¥q",NA,991028,"¥Í²£¤¤","08­¹«~»s³y·~","089¨ä¥L­¹«~","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½19¾F®çÅa¸ô«n¹´«Ñ41¸¹","121.326277","24.969339"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¬q677¡B678¡B686¦a¸¹","±¶¯S¤O¹ê·~ªÑ¥÷¦³­­¤½¥q","T6800068",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¬q677¡B678¡B686¦a¸¹","®ç¶é¥«¤K¼w°Ï","¿à¨qµ^",86762843,"ªÑ¥÷¦³­­¤½¥q",NA,1050317,"¥Í²£¤¤","14¤ì¦Ë»s«~»s³y·~","140¤ì¦Ë»s«~","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½18¾Fª÷ªùµó1¤§1¸¹","121.301018","24.969757"
"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½¤j©úµó¢¸¢´¸¹","¤¹¬u¥ø·~¦³­­¤½¥q","99707364",NA,"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½¤j©úµó¢¸¢´¸¹","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½","ªL¶ÀÄ_³·",84882920,"¦³­­¤½¥q",NA,961224,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~","259¨ä¥Lª÷ÄÝ»s«~","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½19¾F¤j©úµó95¸¹","121.298178","24.969257"
"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½¤jºÖµó212«Ñ10¸¹1¼Ó","Ápª@¥ø·~ªÀ","T0300058",NA,"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½¤jºÖµó212«Ñ10¸¹1¼Ó","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½","Â²¥Ã«°",17683865,"¿W¸ê",NA,1020104,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","292¨ä¥L±M¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½19¾F¤jºÖµó212«Ñ10¸¹","121.298997","24.969447"
"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½¤¶¹Ø¸ô¢°¬q¢µ¢¯¢¯¸¹","ªF°ö¤u·~ªÑ¥÷¦³­­¤½¥q®ç¶é¼t","99621875",5810000002690,"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½¤¶¹Ø¸ô¢°¬q¢µ¢¯¢¯¸¹","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½","³¯¦¨¡@¡@¡@",43156410,"ªÑ¥÷¦³­­¤½¥q",580101,590301,"¥Í²£¤¤","27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,28¹q¤O³]³Æ»s³y·~,29¾÷±ñ³]³Æ»s³y·~,31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,33¨ä¥L»s³y·~","272³q°T¶Ç¼½³]³Æ,285®a¥Î¹q¾¹,292¨ä¥L±M¥Î¾÷±ñ³]³Æ,293³q¥Î¾÷±ñ³]³Æ,319¥¼¤ÀÃþ¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó,331¨|¼Ö¥Î«~","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½14¾F¤¶¹Ø¸ô¤@¬q600¸¹","121.300980","24.968178"
"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½¤¶¹Ø¸ô¤@¬q¤T¤»¥|«Ñ¤G¤@¸¹","¶i¿³³q­·³]³Æ¦³­­¤½¥q","99625026",8010003190763,"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½¤¶¹Ø¸ô¤@¬q¤T¤»¥|«Ñ¤G¤@¸¹","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½","¶À°ê®p¡@¡@",89818624,"¦³­­¤½¥q",801108,801115,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½8¾F¤¶¹Ø¸ô¤@¬q364«Ñ21¸¹","121.300989","24.971424"
"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½¥¿ºÖ¤@µó26«Ñ5¸¹","¹Å®É¯È¾¹ªÑ¥÷¦³­­¤½¥q","99629605",6710000221488,"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½¥¿ºÖ¤@µó26«Ñ5¸¹","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½","Â²´Â³©",27858505,"ªÑ¥÷¦³­­¤½¥q",580101,680924,"¥Í²£¤¤","15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~","152¯È®e¾¹","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½19¾F¥¿ºÖ¤@µó26«Ñ5¸¹","121.297165","24.970540"
"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½®ç¼w¸ô200«Ñ55§Ë10¸¹","²»ºÖÅK½c¥ø·~¦³­­¤½¥q","99717729",NA,"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½®ç¼w¸ô200«Ñ55§Ë10¸¹","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½","¶ÀºÖ¹Ø",84657043,"¦³­­¤½¥q",NA,980715,"¥Í²£¤¤","28¹q¤O³]³Æ»s³y·~","289¨ä¥L¹q¤O³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½19¾F®ç¼w¸ô200«Ñ55§Ë10¸¹","121.297799","24.970140"
"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½®ç¼w¸ô200«Ñ55§Ë11¸¹","ª@¼ÖªÑ¥÷¦³­­¤½¥q","99706867",NA,"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½®ç¼w¸ô200«Ñ55§Ë11¸¹","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½","¹ù¥°¸Î",2491164,"ªÑ¥÷¦³­­¤½¥q",NA,960309,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~","259¨ä¥Lª÷ÄÝ»s«~","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½19¾F®ç¼w¸ô200«Ñ55§Ë11¸¹","121.297369","24.969898"
"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½®ç¼w¸ô200«Ñ55§Ë15¸¹1¼Ó","¸Î¶£¤u·~ªÑ¥÷¦³­­¤½¥q¤K¼w¼t","99688533",NA,"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½®ç¼w¸ô200«Ñ55§Ë15¸¹1¼Ó","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½","¾G¦`¦¨",16339387,"ªÑ¥÷¦³­­¤½¥q",NA,940811,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~,29¾÷±ñ³]³Æ»s³y·~","259¨ä¥Lª÷ÄÝ»s«~,293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½19¾F®ç¼w¸ô200«Ñ55§Ë15¸¹","121.297392","24.970078"
"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½®ç¼w¸ô200«Ñ55§Ë19¸¹","¥Ý´Ë»s³UªÑ¥÷¦³­­¤½¥q","03001525",NA,"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½®ç¼w¸ô200«Ñ55§Ë19¸¹","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½","§fÂö¥»",89231187,"ªÑ¥÷¦³­­¤½¥q",NA,1020131,"¥Í²£¤¤","22¶ì½¦»s«~»s³y·~","220¶ì½¦»s«~","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½19¾F®ç¼w¸ô200«Ñ55§Ë19¸¹","121.297434","24.970255"
"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½®ç¼w¸ô200«Ñ55§Ë8ÛÁ1¸¹","¦A¿³¯È·~¦³­­¤½¥q","03000064",NA,"®ç¶é¥«¤K¼w°Ï¤j¥¿¨½®ç¼w¸ô200«Ñ55§Ë8ÛÁ1¸¹","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½","¶À¶Ç¬F",22592942,"¦³­­¤½¥q",NA,991101,"¥Í²£¤¤","15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~","152¯È®e¾¹","®ç¶é¥«¤K¼w°Ï¤j¥¿¨½19¾F®ç¼w¸ô200«Ñ55§Ë1¸¹","121.298141","24.970014"
"®ç¶é¥«¤K¼w°Ï¤j¦w¨½15¾F¦Ï¸Y¥J27¸¹","°ª¶é¹ê·~¦³­­¤½¥q¤K¼w¼t","T0300109",NA,"®ç¶é¥«¤K¼w°Ï¤j¦w¨½15¾F¦Ï¸Y¥J27¸¹","®ç¶é¥«¤K¼w°Ï¤j¦w¨½","±äª÷<U+9CEF>",16041132,"¦³­­¤½¥q",NA,1020513,"¥Í²£¤¤","23«Dª÷ÄÝÄqª«»s«~»s³y·~","239¨ä¥L«Dª÷ÄÝÄqª«»s«~","®ç¶é¥«¤K¼w°Ï¤j¦w¨½15¾F¦Ï¸Y¥J27¸¹","121.328545","24.947879"
"®ç¶é¥«¤K¼w°Ï¤j¦w¨½4¾F©M¥­¸ô528«Ñ77¸¹","¤d¨¶¥ø·~ªÑ¥÷¦³­­¤½¥q¤G¼t","03002234",NA,"®ç¶é¥«¤K¼w°Ï¤j¦w¨½4¾F©M¥­¸ô528«Ñ77¸¹","®ç¶é¥«¤K¼w°Ï¤j¦w¨½","µ£¤h»¨",97392087,"ªÑ¥÷¦³­­¤½¥q",NA,1030707,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~,26¹q¤l¹s²Õ¥ó»s³y·~","254ª÷ÄÝ¥[¤u³B²z,263¦L¨ê¹q¸ôªO","®ç¶é¥«¤K¼w°Ï¤j¦w¨½4¾F©M¥­¸ô528«Ñ77¸¹","121.312934","24.955088"
"®ç¶é¥«¤K¼w°Ï¤j¦w¨½4¾F©M¥­¸ô528«Ñ77¸¹2¼Ó","¦ÊøÊ¹q¤l¦³­­¤½¥q","68000340",NA,"®ç¶é¥«¤K¼w°Ï¤j¦w¨½4¾F©M¥­¸ô528«Ñ77¸¹2¼Ó","®ç¶é¥«¤K¼w°Ï¤j¦w¨½","¶ÀÀR©y",16490989,"¦³­­¤½¥q",NA,1041026,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ,292¨ä¥L±M¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¦w¨½4¾F©M¥­¸ô528«Ñ77¸¹","121.312934","24.955088"
"®ç¶é¥«¤K¼w°Ï¤j¦w¨½¢³¾F©M¥­¸ô¢´¢±¢·«Ñ¢·¢´¸¹","»ñ·½¥ø·~ªÀ","99717594",NA,"®ç¶é¥«¤K¼w°Ï¤j¦w¨½¢³¾F©M¥­¸ô¢´¢±¢·«Ñ¢·¢´¸¹","®ç¶é¥«¤K¼w°Ï¤j¦w¨½","ªL²`·½",8404384,"¿W¸ê",NA,980310,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~","252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó","®ç¶é¥«¤K¼w°Ï¤j¦w¨½4¾F©M¥­¸ô528«Ñ85¸¹","121.313054","24.954817"
"®ç¶é¥«¤K¼w°Ï¤j¦w¨½¥|¾F©M¥­¸ô540«Ñ25¸¹","«Â§»ºë±K¤u¨ã¦³­­¤½¥q","03000061",NA,"®ç¶é¥«¤K¼w°Ï¤j¦w¨½¥|¾F©M¥­¸ô540«Ñ25¸¹","®ç¶é¥«¤K¼w°Ï¤j¦w¨½","¥Û½å½÷",24211315,"¦³­­¤½¥q",NA,991029,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¦w¨½4¾F©M¥­¸ô540«Ñ25¸¹","121.312667","24.956360"
"®ç¶é¥«¤K¼w°Ï¤j¦w¨½¦Ï¸Y¥J13¾F16¸¹","·s¸s¹©¹ê·~¦³­­¤½¥q¤K¼w¼t","T0300025",NA,"®ç¶é¥«¤K¼w°Ï¤j¦w¨½¦Ï¸Y¥J13¾F16¸¹","®ç¶é¥«¤K¼w°Ï¤j¦w¨½","§d¨qªâ",70619322,"¦³­­¤½¥q",NA,1010816,"¥Í²£¤¤","23«Dª÷ÄÝÄqª«»s«~»s³y·~","233¤ôªd¤Î¨ä»s«~","®ç¶é¥«¤K¼w°Ï¤j¦w¨½16¾F«Ø¦wµó16¸¹","121.319155","24.950094"
